Код;Название;Цена;Мингод;Конкурс;Мин;МестОбщ;Бюдж;Целевик;Квота;Плат;Экз;Документы
50306;Экология и природопользование;158 300,00 рублей;151;8,2;118;20;11;2;2;5;Биология, Химия/Математика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
60301;Биология;158 300,00 рублей;154;6,3;118;37;25;3;4;5;Биология, Химия/Математика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
350304;Агрономия. Профиль «Растениеводство и фитодизайн»;158 300,00 рублей;139;6,1;118;15;8;1;1;5;Биология, Химия/Математика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
350308;"Водные биоресурсы и аквакультура Профиль ""Аквакультура""";158 300,00 рублей;151;5,4;118;20;11;2;2;5;Биология, Химия/Математика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
360302;Зоотехния;158 300,00 рублей;151;5,2;118;22;12;3;2;5;Биология, Химия/Математика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Биология и Химия)""";138 100,00 рублей;161;3,9;124;15;7;2;1;5;Обществознание, Химия/Математика/Биология, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Английский язык и Немецкий язык)""";138 100,00 рублей;230;9,9;184;30;14;4;2;10;Иностранный язык, Обществознание, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Английский язык и Французский язык)""";138 100,00 рублей;228;9,7;183;30;14;4;2;10;Иностранный язык, Обществознание, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Немецкий язык и Английский язык)""";138 100,00 рублей;176;4,7;183;30;14;4;2;10;Иностранный язык, Обществознание, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
450302;Лингвистика;138 100,00 рублей;156(платное);нет инофрмации;156;25;0;0;0;25;Иностранный язык, Обществознание, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
